sch,rdg,math,sci,sid,schid
12,16.155,33.105,21.111,7084055,70840
12,14.541,39.91,22.589,7084060,70840
12,7.481,12.657,5.215,7084062,70840
12,18.155,20.392,18.062,7084063,70840
12,16.551,20.208,19.302,7084064,70840
12,16.777,25.171,14.924,7084065,70840
12,15.147,30.341,15.086,7084066,70840
12,15.393,18.177,16.592,7084069,70840
12,16.512,34.669,20.011,7084070,70840
12,13.555,22.066,11.555,7084071,70840
12,11.437,25.124,13.457,7084073,70840
12,0.235,13.718,8.019,7084076,70840
12,8.84,30.028,16.407,7084081,70840
12,15.1,25.78,20.572,7084085,70840
12,8.265,21.59,9.459,7084088,70840
12,20.861,36.238,18.784,7084090,70840
12,14.575,32.089,17.335,7084091,70840
12,17.338,33.524,17.602,7084094,70840
12,18.441,33.011,19.599,7084096,70840
12,20.861,30.166,17.168,7084098,70840
13,15.808,22.888,8.718,7908600,79086
13,11.499,22.881,9.192,7908604,79086
13,10.988,7.238,6.392,7908607,79086
13,12.08,15.823,8.481,7908611,79086
13,10.971,15.644,9.008,7908613,79086
13,15.122,25.031,13.4,7908616,79086
13,11.208,16.56,7.844,7908620,79086
13,15.205,18.341,11.036,7908622,79086
13,20.861,24.905,11.729,7908624,79086
13,8.894,11.157,10.634,7908625,79086
13,10.548,25.117,15.093,7908626,79086
13,16.229,20.04,12.393,7908627,79086
13,20.275,30.846,11.461,7908628,79086
13,16.044,9.823,8.372,7908629,79086
13,6.532,1.364,4.871,7908630,79086
13,11.657,21.88,20.358,7908631,79086
13,16.853,16.11,6.358,7908634,79086
13,13.466,26.009,7.026,7908635,79086
13,5.896,22.416,7.412,7908636,79086
13,16.606,35.797,5.136,7908638,79086
13,17.353,22.536,8.261,7908640,79086
13,13.504,22.465,13.576,7908646,79086
13,7.894,15.794,9.121,7908647,79086
13,8.372,11.435,11.362,7908648,79086
13,15.05,22.238,15.108,7908649,79086
13,18.706,25.135,16.105,7908652,79086
13,13.443,18.66,12.294,7908655,79086
13,18.084,27.236,13.519,7908657,79086
13,20.275,36.01,19.118,7908661,79086
13,13.705,9.381,14.444,7908663,79086
13,11.628,26.13,18.411,7908664,79086
13,12.618,18.416,13.704,7908666,79086
13,15.171,23.341,7.796,7908667,79086
13,2.332,-2.463,-0.122,7908670,79086
13,18.39,33.957,17.379,7908671,79086
13,17.562,26.714,10.2,7908674,79086
13,14.753,20.695,10.795,7908679,79086
13,11.642,25.397,12.956,7908681,79086
13,16.094,20.181,8.665,7908683,79086
13,19.563,31.654,14.885,7908684,79086
13,9.343,8.883,8.299,7908687,79086
13,16.162,22.387,17.678,7908688,79086
13,8.957,8.131,5.46,7908693,79086
13,16.803,18.634,10.276,7908695,79086
13,18.564,25.945,9.803,7908696,79086
